Date,Responses,ObjectId
2023/05/29,608,997
2023/05/30,543,998
2023/05/31,680,999
2023/06/01,694,1000
2023/06/02,679,1001
2023/06/03,615,1002
2023/06/04,536,1003
2023/06/05,581,1004
2023/06/06,478,1005
2023/06/07,483,1006
2023/06/08,498,1007
2023/06/09,493,1008
2023/06/10,472,1009
2023/06/11,506,1010
2023/06/12,586,1011
2023/06/13,488,1012
2023/06/14,489,1013
2023/06/15,600,1014
2023/06/16,609,1015
2023/06/17,472,1016
2023/06/18,501,1017
2023/06/19,485,1018
2023/06/20,507,1019
2023/06/21,598,1020
2023/06/22,606,1021
2023/06/23,607,1022
2023/06/24,573,1023
2023/06/25,552,1024
2023/06/26,589,1025
2023/06/27,523,1026
2023/06/28,476,1027
2023/06/29,548,1028
2023/06/30,553,1029
2023/07/01,522,1030
2023/07/02,557,1031
2023/07/03,465,1032
2023/07/04,543,1033
2023/07/05,639,1034
2023/07/06,562,1035
2023/07/07,589,1036
2023/09/05,604,1037
2023/09/06,719,1038
2023/09/07,710,1039
2023/09/08,533,1040
2023/09/09,501,1041
2023/09/10,514,1042
2023/09/11,553,1043
2023/09/12,593,1044
2023/09/13,571,1045
2023/09/14,519,1046
2023/09/15,544,1047
2023/09/16,593,1048
2023/09/17,511,1049
2023/09/18,517,1050
2023/09/19,572,1051
2023/09/20,518,1052
2023/09/21,549,1053
2023/09/22,577,1054
2023/09/23,733,1055
2023/09/24,724,1056
2023/09/25,513,1057
2023/09/26,526,1058
2023/09/27,489,1059
2023/09/28,525,1060
2023/09/29,624,1061
2023/09/30,627,1062
2023/10/01,763,1063
2023/10/02,737,1064
2023/10/03,625,1065
2023/10/04,625,1066
2023/10/05,639,1067
2023/10/06,554,1068
2023/10/07,556,1069
2023/10/08,462,1070
2023/10/09,430,1071
2023/10/10,523,1072
2023/10/11,510,1073
2023/10/12,483,1074
2023/10/13,496,1075
2023/10/14,602,1076
2023/10/15,475,1077
2023/10/16,559,1078
2023/10/17,507,1079
2023/10/18,527,1080
2023/10/19,541,1081
2023/10/20,530,1082
2023/10/21,528,1083
2023/10/22,463,1084
2023/10/23,586,1085
2023/10/24,541,1086
2023/10/25,464,1087
2023/10/26,498,1088
2023/10/27,622,1089
2023/10/28,576,1090
2023/10/29,637,1091
2023/10/30,524,1092
2023/10/31,593,1093
2023/11/01,490,1094
2023/11/02,679,1095
